OBJECTID,Proponent,Branch,Base,Facility,Airspace,Reason,State,FAA_ID,POC,Floor,Ceiling,County,Shape__Area,Shape__Length
11,DOD,USAF,Laughlin AFB,Laughlin AFB Aux 2,CLASS C,NATIONAL SECURITY,TX,20161222-DOD-Laughlin AFB  Aux Field (T70) Spofford-Laughlin AFB Aux 2,"47 OSS/OSA, Laughlin Airfield Operations (830) 298-5052    Emergency: Laughlin AFB Command Post    47 FTW/CP   (830) 298-5167",Surface,400' AGL,VAL VERDE,0.00138827478758685,0.148099109363347
12,DOD,USAF,"Seguin Auxiliary Field (KSEQ), TX (Has AF Lease for Model Aviation Club) (AUX)",Seguin Auxiliary,CLASS G,NATIONAL SECURITY,TX,20161222-DOD-Seguin Auxiliary Field (KSEQ)-Seguin Auxiliary,"12 OSS/OSA, Airfield Operations Manager (210) 652-7952; Alternate; 12 OSS/OSAS, Airspace Manager (210) 652-5580; Emergency: Joint Base-San Antonio Command Post, 502 ABW/CP,  (210) 221-9364 or 9365",Surface,400' AGL,GUADALUPE,0.000312105212060487,0.112342608384085
13,DOD,USN,NAS JRB NO,KNGB,CLASS D/E2,NATIONAL SECURITY,LA,20161222-DOD-New Orleans-KNGB,NAS JRB New Orleans:  504 657-7913,Surface,400' AGL,PLAQUEMINES,0.00101160302801873,0.143882872905692
14,DOD,USA,Camp Blanding,Blanding AAF,CLASS G,NATIONAL SECURITY,FL,20161222-DOD-Camp Blanding-Blanding AAF,Dept of the Army Representative/9-ASO-ESADAROffice@faa.gov/404 305-6918         Barney Owens 703 806-4865,Surface,400' AGL,CLAY,0.0266696391997812,0.734611935810884
15,DOD,USN,Whiting Field,NOLF Wolf,CLASS G,NATIONAL SECURITY,AL,20161222-DOD-Whiting-NOLF Wolf,NASWF CDO (850)382-4966,Surface,400' AGL,BALDWIN,0.000126475988508901,0.0720319514948437
16,DOD,USN,Pensacola,NAS Pensacola,CLASS C,NATIONAL SECURITY,FL,20161222-DOD-Pensacola-NAS Pensacola,NAS Pensacola CDO 850 418-5175,Surface,400' AGL,ESCAMBIA,0.00174333322524944,0.204400487129393
17,DOD,USN,Whiting Field,NOLF Barin,CLASS G,NATIONAL SECURITY,AL,20161222-DOD-Whiting-NOLF Barin,NASWF CDO (850)382-4966,Surface,400' AGL,BALDWIN,0.000260085147147038,0.106483755141712
18,DOD,USN,NS Mayport,NS Mayport,CLASS D,NATIONAL SECURITY,FL,20161222-DOD-Mayport-NS Mayport,NAVSTA Mayport CDO 904 219-9705,Surface,400' AGL,DUVAL,0.000833200554325231,0.121022992517865
19,DOD,USMC,MCSF Blount Island,MCSF Blount Island,CLASS D,NATIONAL SECURITY,FL,20161222-DOD-Blount Island-Entire Island Notes:  This non-aviation facility is located within the Mayport Naval Station (NRB) CDSA.  NRB CDSA hours are not continuous.,Command Duty Officer (904) 696-5100,Surface,400' AGL,DUVAL,0.000345039922194701,0.0789776995913497
20,DOD,USN,Whiting Field,NOLF Summerdale,CLASS G,NATIONAL SECURITY,AL,20161222-DOD-Whiting-NOLF Summerdale,NASWF CDO (850)382-4966,Surface,400' AGL,BALDWIN,0.000200262124280925,0.0648553381421347
21,DOD,USN,Whiting Field,NOLF Choctaw,CLASS D,NATIONAL SECURITY,FL,20161222-DOD-Whiting-NOLF Choctaw,NASWF CDO (850)382-4966,Surface,400' AGL,SANTA ROSA,0.00167563930767756,0.171965945539723
22,DOD,USN,Whiting Field,NOLF Site 8,CLASS G,NATIONAL SECURITY,FL,20161222-DOD-Whiting-NOLF Site 8,NASWF CDO (850)382-4966,Surface,400' AGL,ESCAMBIA,0.000246990744017239,0.0630869697503496
23,DOD,USN,Whiting Field,NOLF Silverhill,CLASS G,NATIONAL SECURITY,AL,20161222-DOD-Whiting-NOLF Silverhill,NASWF CDO (850)382-4966,Surface,400' AGL,BALDWIN,0.000106072027847404,0.0418421820000958
24,DOD,USN,Whiting Field,NOLF Santa Rosa,CLASS G,NATIONAL SECURITY,FL,20161222-DOD-Whiting-NOLF Santa Rosa,NASWF CDO (850)382-4966,Surface,400' AGL,SANTA ROSA,0.00022592562936552,0.0603269354234112
25,DOD,USN,Whiting Field,NOLF Spencer,CLASS G,NATIONAL SECURITY,FL,20161222-DOD-Whiting-NOLF Spencer,NASWF CDO (850)382-4966,Surface,400' AGL,SANTA ROSA,0.000242515431864376,0.0625167754701049
26,DOD,USN,Whiting Field,NOLF Harold,CLASS G,NATIONAL SECURITY,FL,20161222-DOD-Whiting-NOLF Harold,NASWF CDO (850)382-4966,Surface,400' AGL,SANTA ROSA,0.000196896572106198,0.0562850529491798
27,DOD,USN,Whiting Field,NOLF Pace,CLASS G,NATIONAL SECURITY,FL,20161222-DOD-Whiting-NOLF Pace,NASWF CDO (850)382-4966,Surface,400' AGL,SANTA ROSA,7.56313586407487e-05,0.0348607543634211
28,DOD,USN,Whiting Field,NAS Whiting Field,CLASS C,NATIONAL SECURITY,FL,20161222-DOD-Whiting-NAS Whiting Field,NASWF CDO (850)382-4966,Surface,400' AGL,SANTA ROSA,0.00140033107118143,0.214349770621139
29,DOD,USN,Whiting Field,NOLF X,CLASS G,NATIONAL SECURITY,FL,20161222-DOD-Whiting-NOLF X,NASWF CDO (850)382-4966,Surface,400' AGL,SANTA ROSA,0.000240273392364543,0.0623115349506652
30,DOD,USN,Whiting Field,NOLF Brewton,CLASS G,NATIONAL SECURITY,AL,20161222-DOD-Whiting-NOLF Brewton,NASWF CDO (850)382-4966,Surface,400' AGL,ESCAMBIA,0.000257086006058671,0.0785499899520895
31,DOD,USA,Camp Shelby,Shelby/Hagler AAF,CLASS G,NATIONAL SECURITY,MS,20161222-DOD-Camp Shelby-Shelby/Hagler AAF,"LTC Jerry Lewis, 404 305-6916          Barney Owens 703 806-4865",Surface,400' AGL,FORREST,0.00394288589927783,0.283230673647293
32,DOD,USA,"Fort Rucker, AL",Cairns AAF,CLASS D,NATIONAL SECURITY,AL,20161222-DOD-Fort Rucker-Cairns AAF,Dept of the Army Representative/9-ASO-ESADAROffice@faa.gov/404 305-6918         Barney Owens 703 806-4865,Surface,400' AGL,DALE,0.000447582243168654,0.0987335354491573
33,DOD,USA,"Fort Rucker, AL",Shell AAF,CLASS G,NATIONAL SECURITY,AL,20161222-DOD-Fort Rucker-Shell AAF,Dept of the Army Representative/9-ASO-ESADAROffice@faa.gov/404 305-6918         Barney Owens 703 806-4865,Surface,400' AGL,DALE,8.54807688028814e-05,0.0369231908042179
34,DOD,USN,Whiting Field,NOLF Evergreen,CLASS G,NATIONAL SECURITY,AL,20161222-DOD-Whiting-NOLF Evergreen,NASWF CDO (850)382-4966,Surface,400' AGL,CONECUH,0.000153767874735422,0.0844828435182653
35,DOD,USMC,MCLB Albany,MCLB Albany,CLASS G,NATIONAL SECURITY,GA,20161222-DOD-Albany-Marine Corps Logistics Command (MARCORLOGCOM),Command Duty Officer (229) 639-5206,Surface,400' AGL,DOUGHERTY,0.0012101001384508,0.200097867917096
36,DOD,USAF,Key Field,Key Field,CLASS D,NATIONAL SECURITY,MS,20161222-DOD-Key Field-Key Field,Alan Tibbetts  (601) 484-9460  charles.a.tibbetts.civ@mail.mil,Surface,400' AGL,LAUDERDALE,4.10807936077617e-05,0.0285793229055701
37,DOD,USAF,Maxwell AFB,Maxwell AFB,CLASS D,NATIONAL SECURITY,AL,20161222-DOD-Maxwell AFB-Maxwell AFB,"42 OSS/OSA, Airfield Operations Flight Commander (334) 953-2134           Emergency: Maxwell AFB Command Post,      42 ABW/CP,      (334) 953-7474",Surface,400' AGL,MONTGOMERY,0.000801955145561806,0.119432537678194
38,DOD,USA,Marana,Silverbell AHP,CLASS G,NATIONAL SECURITY,AZ,20161222-DOD-Marana-Silverbell AHP,WSA DAR (206)231-2505 or 9-ANM-DAR-ArmyMILREP@faa.gov,Surface,400' AGL,PINAL,5.16551790497033e-05,0.0328697621146565
39,DOD,USN,Naval Base Coronado,NOLF Imperial Beach 1,CLASS D/E/G,NATIONAL SECURITY,CA,20161222-DOD-Coronado-NOLF Imperial Beach 1,"LT Shannon Thayer, Air Operations, ATC, 619-545-8238, Shannon.Thayer@navy.mil (CDO 619-778-4862)-contact CDO after working hours",Surface,400' AGL,SAN DIEGO,0.000208440825190337,0.0623283358296322
40,DOD,USN,Naval Base Coronado,NOLF Imperial Beach 2,CLASS D/E/G,NATIONAL SECURITY,CA,20161222-DOD-Coronado-NOLF Imperial Beach 2,"LT Shannon Thayer, Air Operations, ATC, 619-545-8238, Shannon.Thayer@navy.mil (CDO 619-778-4862)-contact CDO after working hours",Surface,400' AGL,SAN DIEGO,0.000184944724878733,0.0602409048379854
41,DOD,USN,Naval Base Coronado,NAS North Island 1,CLASS D/E/G,NATIONAL SECURITY,CA,20161222-DOD-Coronado-NAS North Island 1,"LT Shannon Thayer, Air Operations, ATC, 619-545-8238, Shannon.Thayer@navy.mil (CDO 619-778-4862)-contact CDO after working hours (strand complex POC is NBC ODO (619) 545-8233)",Surface,400' AGL,SAN DIEGO,4.25572907261085e-05,0.0298929484876966
42,DOD,USA,Marana,Picacho AAF,CLASS G,NATIONAL SECURITY,AZ,20161222-DOD-Marana-Picacho AAF,WSA DAR (206)231-2505 or 9-ANM-DAR-ArmyMILREP@faa.gov,Surface,400' AGL,PINAL,3.22419384701789e-05,0.0230819635234567
43,DOD,USN,Naval Base Coronado,NAS North Island 2,CLASS D/E/G,NATIONAL SECURITY,CA,20161222-DOD-Coronado-NAS North Island 2,"LT Shannon Thayer, Air Operations, ATC, 619-545-8238, Shannon.Thayer@navy.mil (CDO 619-778-4862)-contact CDO after working hours (strand complex POC is NBC ODO (619) 545-8233)",Surface,400' AGL,SAN DIEGO,8.49812117849069e-05,0.0401849063800389
44,DOD,USN,Naval Base Coronado,NAS North Island 4,CLASS D/E/G,NATIONAL SECURITY,CA,20161222-DOD-Coronado-NAS North Island 4,"LT Robert Righetti, 619-553-7197, N3, robert.righetti@navy.mil (CDO 858-431-6482)-contact CDO after working hours",Surface,400' AGL,SAN DIEGO,0.000474652631510253,0.118399887003532
45,DOD,USN,Naval Base Coronado,NAS North Island 5,CLASS D/E/G,NATIONAL SECURITY,CA,20161222-DOD-Coronado-NAS North Island 5,"LT Shannon Thayer, Air Operations, ATC, 619-545-8238, Shannon.Thayer@navy.mil (CDO 619-778-4862)-contact CDO after working hours",Surface,400' AGL,SAN DIEGO,0.0010050144435354,0.133740380638632
46,DOD,USN,NAS Meridian,OLF Joe Williams,CLASS D,NATIONAL SECURITY,MS,20161222-DOD-Meridian-OLF Joe Williams,NASMER CDO 601-695-7055,Surface,400' AGL,KEMPER,0.000317151449962694,0.108666341741826
47,DOD,USA,Yuma Proving Ground,Laguna AAF,CLASS D,NATIONAL SECURITY,AZ,20161222-DOD-Yuma Proving Ground-Laguna AAF,Jason Anderson (928) 328-4525 - jason.l.anderson64.civ@army.mil,Surface,400' AGL,YUMA,0.00694686000133515,0.342197328197984
48,DOD,USAF,Gila Bend Aux Field (KGXF),Luke AFB,CLASS D,NATIONAL SECURITY,AZ,20161222-DOD-Gila Bend Aux Field (KGXF)-Luke AFB,Primary:  Mr. William Gillies (623) 856 5855   william.gillies@us.af.mil                                               Alternate: D. Scott Wilson (210) 652-5539   david.wilson.123@us.af.mil,Surface,400' AGL,MARICOPA,0.00247559642684791,0.204819779219296
49,DOD,USAF,Gunshy/Shuqualak Aux Field,Gunshy Shuqualak Aux,CLASS G,NATIONAL SECURITY,MS,20161222-DOD-Gunshy/Shuqualak Aux Field-Gunshy Shuqualak Aux,"Capt Patrick Flynn (229)-300-1266; patrick.flynn.9@us.af.mil; Emergency: Columbus AFB Command Post 14 FTW/CP; (662) 434-7020",Surface,400' AGL,NOXUBEE,0.000223379626959286,0.0864391554311818
50,DOD,USN,NBVC,OLF San Nicholas,CLASS D/G,NATIONAL SECURITY,CA,20161222-DOD-Ventura County-OLF San Nicholas,NBVC Mugu CDO 805-207-7277,Surface,400' AGL,VENTURA,0.00566179769793962,0.347821915529511
51,DOD,USAF,Columbus AFB,Columbus AFB,CLASS C,NATIONAL SECURITY,MS,20161222-DOD-Columbus AFB-Columbus AFB,"Capt Patrick Flynn (229)-300-1266; patrick.flynn.9@us.af.mil; Emergency: Columbus AFB Command Post 14 FTW/CP; (662) 434-7020",Surface,400' AGL,LOWNDES,0.00145022845845233,0.167621283057311
52,DOD,USAF,Jt Base McEntire,Jt Base McEntire,CLASS D,NATIONAL SECURITY,SC,20161222-DOD-Jt Base McEntire-Jt Base McEntire,Command Post (501) 987-1900.,Surface,400' AGL,RICHLAND,0.000913529346462383,0.133261582194168
53,DOD,USMC,MCAS Cherry Point,MCALF Bogue ,CLASS D,NATIONAL SECURITY,NC,20161222-DOD-MCALF Bogue-Auxillary Landing Field (ALF) Bogue CDSA  by NOTAM during scheduled operations only.,Command Duty Officer (252) 466-5236,Surface,400' AGL,CARTERET,0.000291745334152438,0.0807358326175785
54,DOD,USA,Camp Robinson,Robinson AAF,CLASS G,NATIONAL SECURITY,AR,20161222-DOD-Camp Robinson-Robinson AAF,"Dustin Beene, 501-212-5657   Emergency: Joint Operations Center, 501-212-5474",Surface,400' AGL,PULASKI,0.00158389817511306,0.163772043186346
55,DOD,USMC,MCAS Cherry Point,MCOLF Oak Grove,CLASS D,NATIONAL SECURITY,NC,20161222-DOD-Oak Grove-Outlying Landing Field (OLF) Oak Grove CDSA by NOTAM.  Heavy use as an uncontrolled airport.,Command Duty Officer (252) 466-5236,Surface,400' AGL,JONES,0.000364843748684507,0.105870854764206
56,DOD,USN,NAS Lemoore,KNLC 1,CLASS D/G,NATIONAL SECURITY,CA,20161222-DOD-Lemoore-KNLC 1,"LT Brian Shouse, ATC, 559-998-1093, brian.j.shouse.mil@us.navy.mil. (CDO 559-707-0001) contact CDO after working hours",Surface,400' AGL,KINGS,0.000585718183174322,0.110435002784139
57,DOD,USAF,Vance AFB,Vance AFB,CLASS D,NATIONAL SECURITY,OK,20161222-DOD-Vance AFB-Vance AFB,"71 OSS/OSO, Vance Airspace Manager (580) 213-7820; email:  Vance.Drone.UAS.Request@us.af.mil; Emergency: Vance AFB Command Post; 71 FTW/CP (580) 213-6173",Surface,400' AGL,GARFIELD,0.000767424709692932,0.128955720094526
58,DOD,USN,NAS Lemoore,KNLC 2,CLASS D/G,NATIONAL SECURITY,CA,20161222-DOD-Lemoore-KNLC 2,"LT Brian Shouse, ATC, 559-998-1093, brian.j.shouse.mil@us.navy.mil. (CDO 559-707-0001) contact CDO after working hours",Surface,400' AGL,KINGS,0.00414397239228492,0.258446683995316
59,DOD,USN,NAS Oceana,NAF Fentress,CLASS E2,NATIONAL SECURITY,VA,20161222-DOD-Oceana-NAF Fentress,NTU Oceana TRACON 757-433-2968,Surface,400' AGL,CHESAPEAKE,0.000834153860068909,0.169819219399236
60,DOD,USAF,Kegelman Aux Field (KCKA) (AUX),Kegelman Aux,CLASS G,NATIONAL SECURITY,OK,20161222-DOD-Kegelman-Kegelman Aux,"71 OSS/OSO, Vance Airspace Manager (580) 213-7820; email:  Vance.Drone.UAS.Request@us.af.mil; Emergency: Vance AFB Command Post; 71 FTW/CP (580) 213-6173",Surface,400' AGL,ALFALFA,0.000423091496031702,0.0963310715342058
61,DOD,USAF,Moffett Field,Moffett Field,CLASS C,NATIONAL SECURITY,CA,20161222-DOD-Moffett Field-Moffett Field,William Smith  (650) 603-9212  william.e.smith70.civ@mail.mil,Surface,400' AGL,SANTA CLARA,5.33836650902231e-05,0.036631023663467
62,DOD,USN,NAS Patuxent River OLF,Webster OLF,R,NATIONAL SECURITY,MD,20161222-DOD-Patuxent River-Webster OLF,NAS PAX CDO 240-731-7527,Surface,400' AGL,ST. MARY'S,0.000318614793968663,0.0823980832129641
63,DOD,USN,NAS Patuxent River,Patuxent APP,CLASS D,NATIONAL SECURITY,MD,20161222-DOD-Patuxent River-Patuxent APP,NAS PAX CDO 240-731-7527,Surface,400' AGL,ST. MARY'S,0.00263150162231796,0.246080203060807
64,DOD,USA,Pohakuloa Training Area,Bradshaw AAF,CLASS D,NATIONAL SECURITY,HI,20161222-DOD-Pohakuloa Training Area-Bradshaw AAF,Steve Wahlig (315)456-7431 - stephen.c.wahlig.civ@army.mil,Surface,400' AGL,HAWAII,0.000189344396403612,0.0744892557310821
65,DOD,USAF,Kalaeloa Airport,"John Rogers Field, HI",CLASS D,NATIONAL SECURITY,HI,"20161222-DOD-Kalaeloa-John Rogers Field, HI",Ray Simpson  (808) 448-8181  norman.simpson@us.af.mil,Surface,400' AGL,HONOLULU,0.000458878071185609,0.0885386623745978
66,DOI,BUREAU OF RECLAMATION,,Folsom Dam,CLASS E/G,NATIONAL SECURITY,CA,20170518-DOI-Folsom Dam,Tim Lawson TLawson@usbr.gov 916-989-7171,Surface,400' AGL,"SACRAMENTO, PLACER",0.000128689022858453,0.0854137013311704
67,DOI,BUREAU OF RECLAMATION,,Glen Canyon Dam,CLASS E/G,NATIONAL SECURITY,AZ,20170518-DOI-Glen Canyon Dam,Ron Anderson 928-645-0405 randerson@usbr.gov,Surface,400' AGL,COCONINO,3.96134000766324e-05,0.0332413882373108
68,DOI,NATIONAL PARK SERVICE,,Jefferson National Expansion Memorial,CLASS D,NATIONAL SECURITY,MO,20170518-DOI-Jefferson National Expansion Memorial,"Scott M. Cluck Physical Security/Anti-Terrorism Specialist Law Enforcement Division National Park Service JNEM St. Louis, MO (314) 655-1738 Office (314) 518-0193 Cell scott_cluck@nps.gov",Surface,400' AGL,ST. LOUIS,3.53642410573229e-05,0.027926225398825
69,DOD,USMC,MCB Quantico,MCB Quantico,CLASS D/G,NATIONAL SECURITY,VA,20170522-DOD-Quantico-MCB Quantico,Marine Corps Base Quantico G-3 Operations: (703) 784-2845,Surface,400' AGL,"FAUQUIER, PRINCE WILLIAM, STAFFORD",0.0213132956084792,0.836706845487338
70,DOD,USAF,Joint Base Langley Eustis - Fort Eustis,Felker AAF 1,CLASS D/G,NATIONAL SECURITY,VA,20170602-DOD-Fort Eustis-Felker AAF 1,LTC Jerry Lewis (404) 305-6916      911_POC: Staff Duty Officer (757) 878-3793,Surface,400' AGL,NEWPORT NEWS CITY,0.00320633419323713,0.406096115032068
71,DOD,USAF,Joint Base Langley Eustis - Fort Eustis,Felker AAF 2,CLASS D/G,NATIONAL SECURITY,VA,20170602-DOD-Fort Eustis-Felker AAF 2,LTC Jerry Lewis (404) 305-6916      911_POC: Staff Duty Officer (757) 878-3793,Surface,400' AGL,NEWPORT NEWS CITY,8.99213659977249e-06,0.0165159836084697
72,DOE,SRS,,Savannah River Site,CLASS G,NATIONAL SECURITY,SC,20170202-DOE-Savannah River,"Ops Center 803-725-3200, Mark Spurlock, 803-952-8265, mark.spurlock@srs.gov",Surface,400' AGL,AIKEN,0.0485404606622524,0.887900898224395
73,DOE,Y-12,,Y-12 National Security Site,CLASS G,NATIONAL SECURITY,TN,20170202-DOE-Y-12,"Ops Center 865 574-7176/7172, Tom Hayden, 865 576-7259, c:  865 206-4666, Haydentw@y12.doe.gov",Surface,400' AGL,ANDERSON,0.00121733819241854,0.1460542838997
74,DOE,ORNL,,Oak Ridge National Laboratory,CLASS G,NATIONAL SECURITY,TN,20170202-DOE-Oak Ridge,"Shift Superintendent 865 574-6606, Johnny Moore, 865 576 3536, moorejo@ornl.gov",Surface,400' AGL,ROANE,0.000963771984515915,0.133142933394105
75,DOD,USAF,Seymour Johnson AFB,Installation,CLASS D,NATIONAL SECURITY,NC,20170518-DOD-Seymour Johnson AFB-Installation,"4 FW/Command Post: 919-722-0004, 919-722-7491/4097     Emergency: 24-hr Facility, 4 FW/Command Post: 919-722-0004",Surface,400' AGL,WAYNE,0.00122987967051813,0.206733475022085
76,DOD,USAF,Nellis,Installation 1,CLASS B,NATIONAL SECURITY,NV,20170518-DOD-Nellis-Installation 1,"Airspace Mgr: 702-652-7688     Emergency: Command Post: 702-652-2448,  Airspace Mgr: 702-652-7688",Surface,400' AGL,CLARK,0.00567427286705424,0.462173833721409
77,DOD,USAF,Nellis,Installation 2,CLASS B,NATIONAL SECURITY,NV,20170518-DOD-Nellis-Installation 2,"Airspace Mgr: 702-652-7688     Emergency: Command Post: 702-652-2448,  Airspace Mgr: 702-652-7688",Surface,400' AGL,CLARK,0.000456223403944023,0.106764525653824
78,DOD,USAF,Barksdale,Installation,CLASS C,NATIONAL SECURITY,LA,20170518-DOD-Barksdale-Installation,ATC:  318-456-2116     Emergency: Command Post: 318-456-2151,Surface,400' AGL,BOSSIER,0.00838248276727427,0.478157444046107
79,DOD,USAF,Kirtland AFB,Installation 1,CLASS C,NATIONAL SECURITY,NM,20170518-DOD-Kirtland AFB-Installation 1,Command Post: 505-846-0011     Emergency: Command Post: 505-846-0011,Surface,400' AGL,BERNALILLO,0.0181749900054911,0.831913843097007
80,DOD,USAF,Kirtland AFB,Installation 2,CLASS C,NATIONAL SECURITY,NM,20170518-DOD-Kirtland AFB-Installation 2,Command Post: 505-846-0011     Emergency: Command Post: 505-846-0011,Surface,400' AGL,BERNALILLO,2.76791320175107e-05,0.0219478941724287
81,DOD,USAF,Whiteman AFB,Installation 1,CLASS D,NATIONAL SECURITY,MO,20170518-DOD-Whiteman AFB-Installation 1,"Voskovitch/Air Sp Mgr: 660-687-1110     Emergency: Command Post:  660-687-3778, Airspace Mgr:  660-687-1110",Surface,400' AGL,JOHNSON,4.23436404162203e-07,0.0029857340173148
82,DOD,USAF,Whiteman AFB,Installation 2,CLASS D,NATIONAL SECURITY,MO,20170518-DOD-Whiteman AFB-Installation 2,"Voskovitch/Air Sp Mgr: 660-687-1110     Emergency: Command Post:  660-687-3778, Airspace Mgr:  660-687-1110",Surface,400' AGL,JOHNSON,0.000201005841972801,0.0722675593001893
83,DOD,USAF,Whiteman AFB,Installation 3,CLASS D,NATIONAL SECURITY,MO,20170518-DOD-Whiteman AFB-Installation 3,"Voskovitch/Air Sp Mgr: 660-687-1110     Emergency: Command Post:  660-687-3778, Airspace Mgr:  660-687-1110",Surface,400' AGL,JOHNSON,0.00191078127090805,0.203998284241261
84,DOD,USAF,Creech,Installation 1,CLASS D,NATIONAL SECURITY,NV,20170518-DOD-Creech-Installation 1,Airspace Mgr: 702-652-7891     Emergency: Comman Post: 702-652-1110,Surface,400' AGL,CLARK,2.24007276301563e-05,0.035214855468124
85,DOD,USAF,Creech,Installation 2,CLASS D,NATIONAL SECURITY,NV,20170518-DOD-Creech-Installation 2,Airspace Mgr: 702-652-7891     Emergency: Comman Post: 702-652-1110,Surface,400' AGL,CLARK,0.000896482634288986,0.151563577723633
86,DOD,USAF,Dyess,Installation 1,CLASS C,NATIONAL SECURITY,TX,20170518-DOD-Dyess-Installation 1,"Mr. Dwight Williams, Airspace Manager: 325-696-3666     Emergency: Command Post: 325-696-192, Airspace Mgr: 325-696-3666",Surface,400' AGL,TAYLOR,0.00201118740619677,0.223866179570881
87,DOD,USAF,Dyess,Installation 2,CLASS C,NATIONAL SECURITY,TX,20170518-DOD-Dyess-Installation 2,"Mr. Dwight Williams, Airspace Manager: 325-696-3666     Emergency: Command Post: 325-696-192, Airspace Mgr: 325-696-3666",Surface,400' AGL,TAYLOR,1.08051654024166e-06,0.00547352039871761
88,DOD,USAF,Holloman AFB,Installation 1,CLASS D,NATIONAL SECURITY,NM,20170518-DOD-Holloman AFB-Installation 1,"Base Operations: 505-572-7575     Emergency: Command Post: 575-572-7575, Base Operations: 505-572-7575",Surface,400' AGL,OTERO,3.16248667786567e-05,0.0297638325440531
89,DOD,USAF,Holloman AFB,Installation 2,CLASS D,NATIONAL SECURITY,NM,20170518-DOD-Holloman AFB-Installation 2,"Base Operations: 505-572-7575     Emergency: Command Post: 575-572-7575, Base Operations: 505-572-7575",Surface,400' AGL,OTERO,2.32237425734638e-07,0.00251907911103846
90,DOD,USAF,Holloman AFB,Installation 3,CLASS D,NATIONAL SECURITY,NM,20170518-DOD-Holloman AFB-Installation 3,"Base Operations: 505-572-7575     Emergency: Command Post: 575-572-7575, Base Operations: 505-572-7575",Surface,400' AGL,OTERO,0.0195984399504141,0.775171867025935
91,DOD,USAF,Moody,Installation 1,CLASS D,NATIONAL SECURITY,GA,20170518-DOD-Moody-Installation 1,Airspace Mgr: 229-257-4131     Emergency: Command Post: 208-828-7000,Surface,400' AGL,LOWNDES & LANIER,7.66663356444042e-05,0.0400705977013593
92,DOD,USAF,Moody,Installation 2,CLASS D,NATIONAL SECURITY,GA,20170518-DOD-Moody-Installation 2,Airspace Mgr: 229-257-4131     Emergency: Command Post: 208-828-7000,Surface,400' AGL,LOWNDES & LANIER,5.6649228099559e-06,0.0116611231314482
93,DOD,USAF,Moody,Installation 3,CLASS D,NATIONAL SECURITY,GA,20170518-DOD-Moody-Installation 3,Airspace Mgr: 229-257-4131     Emergency: Command Post: 208-828-7000,Surface,400' AGL,LOWNDES & LANIER,1.78136542672291e-06,0.00764713564531336
